_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
632,Flag Plaza,2016-01-17T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Flag Plaza,2016-01-17T00:00:00,Min,,,,,0.1,,,,20.8,,,,,,,,,,,,,,-10.7,,,,,,53,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Flag Plaza,2016-01-17T00:00:00,Max,,,,,0.3,,,,21.8,,,,,,,,,,,,,,0.1,,,,,,57,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Flag Plaza,2016-01-17T00:00:00,Hr. of Max,,,,,17,,,,1,,,,,,,,,,,,,,14,,,,,,23,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Flag Plaza,2016-01-17T00:00:00,Avg,,,,,0.1,,,,21.4,,,,,,,,,,,,,,-2.1,,,,,,54,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Flag Plaza,2016-01-18T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Flag Plaza,2016-01-18T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Flag Plaza,2016-01-18T00:00:00,Min,,,,,0.1,,,,20,,,,,,,,,,,,,,-13.2,,,,,,56,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Flag Plaza,2016-01-18T00:00:00,Max,,,,,0.2,,,,21.5,,,,,,,,,,,,,,-10.5,,,,,,57,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Flag Plaza,2016-01-18T00:00:00,Hr. of Max,,,,,23,,,,15,,,,,,,,,,,,,,15,,,,,,23,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Flag Plaza,2016-01-18T00:00:00,Avg,,,,,0.1,,,,20.8,,,,,,,,,,,,,,-11.6,,,,,,57,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Flag Plaza,2016-01-19T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Flag Plaza,2016-01-19T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Flag Plaza,2016-01-19T00:00:00,Min,,,,,0.1,,,,20.5,,,,,,,,,,,,,,-13.6,,,,,,56,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Flag Plaza,2016-01-19T00:00:00,Max,,,,,0.2,,,,23.7,,,,,,,,,,,,,,-7.3,,,,,,57,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Flag Plaza,2016-01-19T00:00:00,Hr. of Max,,,,,23,,,,13,,,,,,,,,,,,,,15,,,,,,23,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Flag Plaza,2016-01-19T00:00:00,Avg,,,,,0.1,,,,22.2,,,,,,,,,,,,,,-10.3,,,,,,57,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Avalon,2016-02-01T00:00:00,Hr. of Max,,,23,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,14,,16,,22,,3,,,
649,Flag Plaza,2016-01-20T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Flag Plaza,2016-01-20T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Avalon,2016-02-08T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,24,,24,,24,,,
651,Flag Plaza,2016-01-20T00:00:00,Min,,,,,0.2,,,,20.7,,,,,,,,,,,,,,-11.4,,,,,,57,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Flag Plaza,2016-01-20T00:00:00,Max,,,,,0.6,,,,22.1,,,,,,,,,,,,,,-5.9,,,,,,59,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Flag Plaza,2016-01-20T00:00:00,Hr. of Max,,,,,10,,,,0,,,,,,,,,,,,,,14,,,,,,23,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Flag Plaza,2016-01-20T00:00:00,Avg,,,,,0.3,,,,21.3,,,,,,,,,,,,,,-8.5,,,,,,58,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Flag Plaza,2016-01-21T00:00:00,Count,,,,,15,,,,15,,,,,,,,,,,,,,15,,,,,,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Flag Plaza,2016-01-21T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Flag Plaza,2016-01-21T00:00:00,Min,,,,,0.2,,,,20.8,,,,,,,,,,,,,,-9.3,,,,,,58,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Flag Plaza,2016-01-21T00:00:00,Max,,,,,0.3,,,,22,,,,,,,,,,,,,,-4.6,,,,,,59,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Flag Plaza,2016-01-21T00:00:00,Hr. of Max,,,,,13,,,,13,,,,,,,,,,,,,,14,,,,,,10,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Flag Plaza,2016-01-21T00:00:00,Avg,,,,,0.2,,,,21.2,,,,,,,,,,,,,,-7.7,,,,,,59,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Glassport High Street,2016-01-15T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Glassport High Street,2016-01-15T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Glassport High Street,2016-01-15T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Glassport High Street,2016-01-15T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Glassport High Street,2016-01-15T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Glassport High Street,2016-01-15T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
